epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1551.85,0.61386,0.06153,0.06109,0.38175,0.88291,1,0.95303,0.9879,0.87479,1,0.95303,0.98894,0.98894,0.63954,0.04348,0.0112,0.45527,0.86909,0.001802,0.001802,0.001802
82,1570.77,0.6242,0.06218,0.06856,0.38442,0.89382,0.99116,0.97826,0.99236,0.8869,0.99116,0.97826,0.99236,0.9902,0.58246,0.05804,0.01688,0.43221,0.85346,0.00179952,0.00179952,0.00179952
83,1589.59,0.6095,0.06021,0.0644,0.37538,0.88015,0.9967,0.97826,0.9896,0.8702,0.9967,0.97826,0.99033,0.98786,0.61655,0.03863,0.02197,0.51727,0.86123,0.00179705,0.00179705,0.00179705
84,1608.4,0.61903,0.05969,0.07409,0.38706,0.88157,0.99819,0.97826,0.99417,0.88514,1,0.99816,0.995,0.99304,0.6168,0.04124,0.02049,0.37203,0.85292,0.00179458,0.00179458,0.00179458
85,1627.14,0.61027,0.06556,0.08718,0.38123,0.88727,1,0.99813,0.995,0.87528,1,0.99813,0.995,0.995,0.63161,0.0469,0.03282,0.39155,0.87122,0.0017921,0.0017921,0.0017921
86,1646,0.6067,0.06049,0.06153,0.37901,0.8836,0.99801,0.97826,0.99457,0.89289,0.99801,0.97826,0.99457,0.99457,0.55362,0.05346,0.04124,0.36901,0.83862,0.00178962,0.00178962,0.00178962
87,1664.78,0.61808,0.06948,0.05529,0.38492,0.89108,1,0.99844,0.995,0.87298,1,0.99844,0.995,0.99164,0.593,0.05458,0.04751,0.40578,0.85471,0.00178715,0.00178715,0.00178715
88,1683.42,0.59443,0.05439,0.07096,0.38145,0.87958,0.98711,0.97826,0.97845,0.85556,0.97735,1,0.995,0.99183,0.60173,0.05763,0.03425,0.49941,0.82672,0.00178468,0.00178468,0.00178468
89,1702.14,0.62136,0.05853,0.06838,0.39794,0.8816,0.99909,1,0.995,0.88007,0.99909,1,0.995,0.995,0.57641,0.04926,0.02694,0.34399,0.83434,0.0017822,0.0017822,0.0017822
90,1721.17,0.59366,0.05308,0.06721,0.38182,0.87557,0.99883,1,0.995,0.87409,0.99883,1,0.995,0.995,0.6115,0.04098,0.01877,0.33211,0.85557,0.00177973,0.00177973,0.00177973
91,1740.1,0.593,0.05973,0.07842,0.3765,0.88479,1,0.99848,0.995,0.90098,1,0.99848,0.995,0.9931,0.54256,0.06717,0.03483,0.36416,0.83946,0.00177725,0.00177725,0.00177725
92,1758.91,0.59269,0.05915,0.068,0.3808,0.87883,0.99639,0.97826,0.9934,0.8901,0.99639,0.97826,0.9934,0.9934,0.55886,0.04751,0.03656,0.36629,0.84617,0.00177477,0.00177477,0.00177477
93,1777.68,0.60005,0.05918,0.0561,0.38312,0.88296,0.97869,0.99845,0.99457,0.88051,0.97869,0.99845,0.99457,0.99457,0.57846,0.03379,0.00513,0.40659,0.85579,0.0017723,0.0017723,0.0017723
94,1796.92,0.6006,0.07535,0.07658,0.38552,0.88412,1,0.99865,0.995,0.88229,1,0.99865,0.995,0.995,0.59029,0.05087,0.01436,0.40671,0.84954,0.00176983,0.00176983,0.00176983
95,1815.74,0.58216,0.05974,0.07368,0.36931,0.87787,0.97539,0.97826,0.9934,0.8897,0.97539,0.97826,0.9934,0.9934,0.54416,0.03108,0.00822,0.35915,0.84505,0.00176735,0.00176735,0.00176735
96,1834.55,0.57193,0.0555,0.06498,0.36508,0.86958,1,0.99812,0.995,0.89862,1,0.99812,0.995,0.995,0.57513,0.02666,0.03108,0.35877,0.84382,0.00176487,0.00176487,0.00176487
97,1853.62,0.58498,0.05923,0.06653,0.37475,0.88665,0.99827,0.97826,0.9934,0.87857,0.99827,0.97826,0.99457,0.99457,0.66867,0.04948,0.03024,0.38725,0.87399,0.0017624,0.0017624,0.0017624
98,1872.53,0.60219,0.05304,0.05947,0.37146,0.87137,0.99832,0.97826,0.99304,0.87653,0.99832,0.97826,0.9934,0.9934,0.60526,0.04644,0.0319,0.45103,0.85371,0.00175993,0.00175993,0.00175993
99,1891.49,0.59075,0.06062,0.07306,0.38265,0.88269,0.998,0.97826,0.99417,0.86922,0.998,0.97826,0.99417,0.99083,0.60671,0.05787,0.03318,0.36599,0.8557,0.00175745,0.00175745,0.00175745
100,1910.31,0.57752,0.05918,0.05919,0.37146,0.87197,0.99622,0.97826,0.98894,0.86571,0.99622,0.97826,0.99304,0.99156,0.6613,0.07445,0.03974,0.47295,0.87016,0.00175497,0.00175497,0.00175497
