epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,2548.87,0.58948,0.04773,0.05694,0.37157,0.88696,1,0.99873,0.995,0.90902,1,0.99873,0.995,0.99425,0.49003,0.0281,0.01398,0.29298,0.84695,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
42,2609.78,0.58367,0.05141,0.06739,0.37167,0.88432,0.99974,1,0.995,0.89765,0.99974,1,0.995,0.99239,0.48826,0.03953,0.01548,0.29404,0.83869,0.0282604,0.00942014,0.0282604,0.00942014,0.0282604,0.00942014,0.0282604,0.00942014
43,2670.71,0.58942,0.04803,0.06464,0.37481,0.88651,0.99852,0.9878,0.99337,0.90336,0.99852,0.9878,0.99337,0.98977,0.48851,0.04609,0.03065,0.30701,0.83725,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
44,2731.46,0.56991,0.04837,0.06683,0.36025,0.88079,0.98638,1,0.9903,0.90876,0.98638,1,0.9903,0.98777,0.47549,0.03219,0.00562,0.29215,0.83424,0.0281756,0.00939186,0.0281756,0.00939186,0.0281756,0.00939186,0.0281756,0.00939186
45,2792.3,0.56848,0.04584,0.06127,0.3596,0.87652,0.98711,1,0.9909,0.91295,0.98711,1,0.9909,0.9893,0.46647,0.02937,0.01521,0.28851,0.83158,0.0281331,0.00937771,0.0281331,0.00937771,0.0281331,0.00937771,0.0281331,0.00937771
46,2852.89,0.57159,0.04502,0.06289,0.35862,0.8823,0.98682,1,0.99488,0.91457,0.98682,1,0.99488,0.99165,0.47042,0.03053,0.01901,0.27607,0.83984,0.0280907,0.00936357,0.0280907,0.00936357,0.0280907,0.00936357,0.0280907,0.00936357
47,2913.73,0.56364,0.04395,0.05761,0.35194,0.87654,0.9862,1,0.99404,0.89878,0.9862,1,0.99404,0.99231,0.46943,0.02838,0.00595,0.29028,0.84085,0.0280483,0.00934943,0.0280483,0.00934943,0.0280483,0.00934943,0.0280483,0.00934943
48,2974.29,0.56246,0.04483,0.06161,0.35749,0.8806,0.99558,0.9878,0.99465,0.919,0.99558,0.9878,0.99465,0.992,0.46736,0.03281,0.03339,0.2783,0.83501,0.0280059,0.00933529,0.0280059,0.00933529,0.0280059,0.00933529,0.0280059,0.00933529
49,3035.17,0.5608,0.04733,0.0594,0.35924,0.87643,0.99277,1,0.995,0.9055,0.99277,1,0.995,0.99152,0.47993,0.04207,0.04861,0.28443,0.83714,0.0279634,0.00932114,0.0279634,0.00932114,0.0279634,0.00932114,0.0279634,0.00932114
50,3095.75,0.55229,0.045,0.06317,0.35252,0.87329,0.9992,1,0.995,0.91149,0.9992,1,0.995,0.99228,0.48207,0.03648,0.01295,0.28191,0.84823,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
51,3156.57,0.56585,0.04603,0.05561,0.35452,0.87361,0.97549,1,0.9944,0.90531,0.97549,1,0.9944,0.99058,0.46927,0.04174,0.00506,0.28483,0.83697,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
