epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,418.966,0.48602,0.03635,0.06772,0.33234,0.85197,0.97292,1,0.99378,0.90388,0.97292,1,0.99378,0.99378,0.52562,0.03663,0.00653,0.32952,0.86425,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,426.597,0.47317,0.04451,0.04784,0.33833,0.84068,0.97205,1,0.99451,0.8932,0.97205,1,0.99451,0.99451,0.51384,0.0312,0.00598,0.30666,0.85896,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,434.012,0.44069,0.04082,0.05685,0.3114,0.82518,0.9703,1,0.99451,0.89958,0.9703,1,0.99451,0.99451,0.51298,0.02848,0.00583,0.33483,0.85944,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,442.169,0.45389,0.04097,0.071,0.31656,0.84287,0.97154,1,0.99451,0.8893,0.97154,1,0.99451,0.99451,0.52993,0.0281,0.00718,0.32342,0.86228,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,450.373,0.4739,0.03631,0.05809,0.32395,0.85859,0.97226,1,0.99451,0.9066,0.97226,1,0.99451,0.99451,0.48236,0.02917,0.00743,0.30704,0.86054,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,457.808,0.43319,0.03211,0.05249,0.31021,0.82169,0.97283,1,0.99451,0.90313,0.97283,1,0.99451,0.99451,0.49186,0.02958,0.00636,0.31632,0.86205,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,465.431,0.46365,0.03805,0.04828,0.31962,0.8341,0.9763,1,0.995,0.89873,0.9763,1,0.995,0.995,0.51529,0.02619,0.00562,0.32234,0.86693,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,473.121,0.46548,0.0384,0.04546,0.31614,0.82987,0.9733,1,0.99451,0.90182,0.9733,1,0.99451,0.99451,0.49794,0.02714,0.00838,0.3217,0.86263,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,480.511,0.43452,0.05186,0.04417,0.31067,0.83084,0.97342,1,0.99451,0.90711,0.97342,1,0.99451,0.99416,0.48761,0.02674,0.00498,0.31312,0.86109,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,488.154,0.46878,0.03396,0.03882,0.31844,0.83064,0.99727,1,0.995,0.89638,0.99727,1,0.995,0.995,0.52064,0.02832,0.00401,0.32053,0.85907,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,495.535,0.43715,0.04133,0.05248,0.32413,0.83186,0.99834,1,0.995,0.89386,0.99834,1,0.995,0.995,0.5243,0.02598,0.00416,0.31933,0.85982,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,503.218,0.45052,0.03874,0.04253,0.31208,0.83449,0.99848,1,0.995,0.90055,0.99848,1,0.995,0.995,0.50153,0.02466,0.00446,0.31355,0.86144,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,510.861,0.45158,0.04771,0.04807,0.30415,0.85158,0.99785,1,0.995,0.90389,0.99785,1,0.995,0.995,0.49032,0.02315,0.0051,0.29838,0.86116,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,518.257,0.45308,0.04794,0.04737,0.31626,0.84024,0.99701,1,0.995,0.91548,0.99701,1,0.995,0.995,0.49512,0.02493,0.00604,0.28439,0.86105,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,526.246,0.45679,0.0291,0.04986,0.31504,0.83738,0.99716,1,0.995,0.8973,0.99716,1,0.995,0.995,0.49932,0.02466,0.00666,0.296,0.8616,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,534.694,0.44286,0.03717,0.04751,0.31037,0.82922,0.99769,1,0.995,0.90174,0.99769,1,0.995,0.995,0.49867,0.02709,0.00563,0.28561,0.86328,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,542.511,0.4103,0.02868,0.03977,0.28871,0.818,0.99813,1,0.995,0.90166,0.99813,1,0.995,0.995,0.50579,0.02465,0.00513,0.28261,0.86637,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,550.146,0.44408,0.02775,0.0425,0.30358,0.83299,0.99724,1,0.995,0.899,0.99724,1,0.995,0.995,0.51877,0.02521,0.00435,0.2951,0.86772,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,557.776,0.43368,0.02591,0.04845,0.29867,0.82625,0.99726,1,0.995,0.91407,0.99726,1,0.995,0.995,0.51499,0.02419,0.00419,0.28673,0.87218,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,565.182,0.45081,0.03686,0.04174,0.31355,0.83506,0.99753,1,0.995,0.89436,0.99753,1,0.995,0.995,0.5223,0.02661,0.0045,0.31006,0.87042,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,572.804,0.44869,0.02665,0.04653,0.30917,0.84971,0.99738,1,0.995,0.89409,0.99738,1,0.995,0.995,0.53011,0.026,0.0073,0.30375,0.86721,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,580.169,0.44455,0.03806,0.05135,0.30686,0.82502,0.99796,1,0.995,0.91044,0.99796,1,0.995,0.995,0.52059,0.02786,0.0152,0.30207,0.86236,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
74,587.835,0.42747,0.02838,0.04392,0.30096,0.82124,0.99811,1,0.995,0.90642,0.99811,1,0.995,0.995,0.51767,0.03065,0.00966,0.29681,0.86487,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,595.432,0.46769,0.03028,0.04732,0.31953,0.8331,0.99843,1,0.995,0.91445,0.99843,1,0.995,0.995,0.51163,0.02604,0.00504,0.28707,0.86111,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,603.162,0.44928,0.03237,0.03332,0.30778,0.8371,0.99837,1,0.995,0.91249,0.99837,1,0.995,0.995,0.49713,0.02562,0.00492,0.29096,0.86172,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,610.794,0.43561,0.03681,0.03734,0.31589,0.82446,0.99847,1,0.995,0.9041,0.99847,1,0.995,0.995,0.51212,0.02827,0.00514,0.31532,0.86218,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,618.412,0.43779,0.02966,0.03605,0.30866,0.83189,0.99828,1,0.995,0.90037,0.99828,1,0.995,0.995,0.52763,0.02682,0.00466,0.30804,0.86324,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,626.241,0.42226,0.03586,0.0433,0.30876,0.82149,0.99834,1,0.995,0.90289,0.99834,1,0.995,0.995,0.53407,0.0264,0.00493,0.30352,0.86152,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,633.939,0.42203,0.02842,0.03891,0.29896,0.81309,0.99841,1,0.995,0.9121,0.99841,1,0.995,0.995,0.51922,0.02296,0.00489,0.29084,0.85819,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,641.549,0.40326,0.03609,0.0415,0.29188,0.82857,0.99843,1,0.995,0.91342,0.99843,1,0.995,0.995,0.52148,0.02369,0.00367,0.28668,0.85728,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,648.884,0.43222,0.02655,0.04397,0.30508,0.82603,0.99803,1,0.995,0.91547,0.99803,1,0.995,0.995,0.51053,0.0236,0.00304,0.28817,0.85467,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,656.527,0.42562,0.02634,0.03611,0.28972,0.83088,0.99609,1,0.995,0.91533,0.99609,1,0.995,0.995,0.51244,0.02466,0.00237,0.28867,0.85425,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,663.983,0.41536,0.04099,0.04417,0.28727,0.83096,0.99551,1,0.995,0.90455,0.99551,1,0.995,0.995,0.53099,0.02605,0.00245,0.29706,0.85719,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,672.184,0.40298,0.03051,0.03776,0.28597,0.8306,0.99585,1,0.995,0.89831,0.99585,1,0.995,0.995,0.53078,0.02706,0.00275,0.29619,0.85429,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,680.112,0.41064,0.02838,0.03884,0.28768,0.81986,1,0.99632,0.995,0.90852,1,0.99632,0.995,0.995,0.50532,0.0227,0.00281,0.28912,0.85819,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,687.579,0.40924,0.0299,0.03383,0.29268,0.82399,0.97385,1,0.99451,0.90767,0.97385,1,0.99451,0.99451,0.50154,0.02179,0.00303,0.30314,0.86097,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,695.294,0.40275,0.03713,0.05414,0.28727,0.82302,0.9738,1,0.99451,0.90202,0.9738,1,0.99451,0.99451,0.50401,0.02254,0.00374,0.28943,0.86288,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,703.276,0.41211,0.02863,0.04477,0.2891,0.81804,0.97387,1,0.99451,0.90707,0.97387,1,0.99451,0.99451,0.48801,0.02248,0.00884,0.2889,0.86138,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
90,710.973,0.40674,0.02556,0.05023,0.28238,0.83468,0.97378,1,0.99451,0.91905,0.97378,1,0.99451,0.99451,0.48033,0.02271,0.00989,0.29635,0.86086,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,719.737,0.39089,0.02788,0.03463,0.28251,0.8173,0.97383,1,0.99451,0.91233,0.97383,1,0.99451,0.99451,0.48138,0.02331,0.00856,0.28751,0.85992,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,727.784,0.38631,0.03575,0.02615,0.27198,0.82166,0.97394,1,0.99451,0.91627,0.97394,1,0.99451,0.99451,0.48157,0.0208,0.00245,0.28567,0.85986,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,735.391,0.40038,0.02794,0.042,0.27723,0.83904,0.97388,1,0.99451,0.91776,0.97388,1,0.99451,0.99451,0.48175,0.01936,0.0023,0.29061,0.85995,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
94,743.537,0.38423,0.02415,0.03403,0.26991,0.83684,0.97401,1,0.99451,0.91374,0.97401,1,0.99451,0.99451,0.47769,0.01938,0.00205,0.29745,0.85917,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793
95,750.971,0.38746,0.03227,0.03867,0.28004,0.82099,0.97409,1,0.99451,0.9118,0.97409,1,0.99451,0.99451,0.47244,0.01992,0.00196,0.29078,0.85544,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
