epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,1153.84,0.4701,0.02645,0.03916,0.31157,0.83788,0.99796,1,0.995,0.91758,0.99796,1,0.995,0.995,0.45018,0.01841,0.00161,0.26534,0.83978,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448
64,1171.92,0.45186,0.02297,0.02675,0.3057,0.82957,0.99776,1,0.995,0.91298,0.99776,1,0.995,0.995,0.44087,0.01727,0.00312,0.27813,0.84358,0.00525156,0.00175052,0.00525156,0.00175052,0.00525156,0.00175052,0.00525156,0.00175052
65,1189.97,0.44919,0.02262,0.02857,0.29874,0.831,0.99714,1,0.995,0.90332,0.99714,1,0.995,0.995,0.46331,0.01668,0.00144,0.2782,0.851,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656
66,1208.14,0.461,0.02508,0.03634,0.30038,0.83912,0.99777,1,0.995,0.90633,0.99777,1,0.995,0.995,0.46635,0.01423,0.00405,0.28537,0.85272,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
67,1226.25,0.455,0.02299,0.03432,0.30607,0.82716,0.99746,1,0.995,0.9109,0.99746,1,0.995,0.995,0.46854,0.01632,0.0019,0.27371,0.8468,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864
68,1244.27,0.45106,0.02226,0.03382,0.30265,0.83696,0.9969,1,0.995,0.91705,0.9969,1,0.995,0.995,0.45875,0.0163,0.00176,0.27142,0.84666,0.00520404,0.00173468,0.00520404,0.00173468,0.00520404,0.00173468,0.00520404,0.00173468
69,1261.99,0.44699,0.02291,0.02895,0.30142,0.82768,0.99648,1,0.995,0.92571,0.99648,1,0.995,0.995,0.44572,0.01523,0.00212,0.27746,0.84083,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072
70,1280.17,0.44484,0.02175,0.02863,0.29679,0.82818,0.99381,0.975,0.99451,0.91959,0.99381,0.975,0.99451,0.99451,0.46342,0.01854,0.00566,0.27511,0.84684,0.00518028,0.00172676,0.00518028,0.00172676,0.00518028,0.00172676,0.00518028,0.00172676
71,1298.15,0.44908,0.0247,0.02147,0.2988,0.82243,0.95227,1,0.9933,0.92177,0.95227,1,0.9933,0.9933,0.45763,0.01902,0.00335,0.29169,0.84118,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
72,1316.21,0.45029,0.01941,0.03303,0.2948,0.83485,1,0.96838,0.98496,0.89283,1,0.96838,0.99405,0.99405,0.46656,0.01806,0.00316,0.31336,0.84149,0.00515652,0.00171884,0.00515652,0.00171884,0.00515652,0.00171884,0.00515652,0.00171884
73,1334.52,0.43334,0.02206,0.02761,0.2856,0.83086,1,0.99533,0.995,0.91837,1,0.99533,0.995,0.995,0.47643,0.01517,0.00236,0.27573,0.85058,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488
74,1352.6,0.44948,0.02403,0.03423,0.29517,0.81832,0.9744,1,0.99451,0.9096,0.9744,1,0.99451,0.99451,0.47467,0.0127,0.00171,0.26219,0.84953,0.00513276,0.00171092,0.00513276,0.00171092,0.00513276,0.00171092,0.00513276,0.00171092
75,1370.7,0.44057,0.02437,0.03165,0.29183,0.83051,1,0.99938,0.995,0.9066,1,0.99938,0.995,0.995,0.46935,0.01138,0.00452,0.27436,0.84517,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696
76,1388.92,0.42109,0.02327,0.02971,0.28018,0.82456,0.98993,1,0.995,0.91116,0.98993,1,0.995,0.995,0.4503,0.01186,0.00189,0.27313,0.84822,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
77,1406.92,0.44667,0.02044,0.03495,0.29414,0.83023,0.99859,1,0.995,0.91494,0.99859,1,0.995,0.995,0.47757,0.01197,0.00247,0.26355,0.84642,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904
78,1424.62,0.45985,0.02128,0.04173,0.2982,0.83767,0.99859,1,0.995,0.91771,0.99859,1,0.995,0.995,0.4635,0.01,0.00369,0.25905,0.84045,0.00508524,0.00169508,0.00508524,0.00169508,0.00508524,0.00169508,0.00508524,0.00169508
79,1442.57,0.44563,0.01986,0.03051,0.29081,0.82766,0.99828,1,0.995,0.90823,0.99828,1,0.995,0.995,0.47579,0.00999,0.00266,0.26297,0.84008,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112
80,1460.48,0.43048,0.02244,0.03246,0.28625,0.83405,0.99821,1,0.995,0.92267,0.99821,1,0.995,0.995,0.41794,0.01352,0.00304,0.24548,0.84008,0.00506148,0.00168716,0.00506148,0.00168716,0.00506148,0.00168716,0.00506148,0.00168716
81,1478.62,0.4383,0.0201,0.04163,0.29294,0.83437,0.99648,1,0.995,0.91833,0.99648,1,0.995,0.995,0.44288,0.01214,0.00209,0.25873,0.84325,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
82,1496.76,0.45113,0.01864,0.03715,0.29321,0.8333,0.99816,1,0.995,0.93054,0.99816,1,0.995,0.995,0.43273,0.01197,0.00218,0.26571,0.84493,0.00503772,0.00167924,0.00503772,0.00167924,0.00503772,0.00167924,0.00503772,0.00167924
83,1514.85,0.4364,0.02318,0.0343,0.28846,0.82674,0.99834,1,0.995,0.92068,0.99834,1,0.995,0.995,0.44486,0.00912,0.00313,0.25846,0.84602,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528
84,1533.09,0.42979,0.01862,0.03179,0.29173,0.82333,0.99656,1,0.995,0.93082,0.99656,1,0.995,0.995,0.42124,0.01162,0.00211,0.25984,0.83765,0.00501396,0.00167132,0.00501396,0.00167132,0.00501396,0.00167132,0.00501396,0.00167132
85,1551.58,0.43231,0.02248,0.034,0.28405,0.83967,0.98842,1,0.995,0.9181,0.98842,1,0.995,0.995,0.45067,0.01547,0.00317,0.26138,0.84921,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736
86,1569.61,0.43351,0.02144,0.03735,0.29182,0.84429,0.99486,1,0.995,0.91956,0.99486,1,0.995,0.995,0.4578,0.01545,0.00461,0.26335,0.84673,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
87,1587.6,0.43506,0.01984,0.03529,0.29142,0.83249,0.99524,1,0.995,0.9211,0.99524,1,0.995,0.995,0.45808,0.01376,0.00207,0.26386,0.84148,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944
88,1605.79,0.42842,0.01989,0.04262,0.28771,0.82871,0.99675,1,0.995,0.91452,0.99675,1,0.995,0.995,0.47041,0.01281,0.0109,0.24665,0.85004,0.00496644,0.00165548,0.00496644,0.00165548,0.00496644,0.00165548,0.00496644,0.00165548
